nickname,date,wpm
fukamimi,2025/10/7,233.6
kaiji_Y,2025/10/5,259.3
tatsumi,2025/10/4,84.2
Haruka,2025/10/2,93.7
rihomiko_11250518,2025/10/2,168.7
admin,2025/10/1,156.2
Haruka,2025/9/7,127.2
kaiji_Y,2025/9/4,166.2
rihomiko_11250518,2025/9/3,116.6
takahiro_ogawa,2025/9/3,181.5
fukamimi,2025/9/2,247.1
takahiro_ogawa,2025/9/1,272.5
admin,2025/9/1,190.3
Haruka,2025/8/22,109.4
kaiji_Y,2025/8/6,339.6
fukamimi,2025/8/5,277.9
rihomiko_11250518,2025/8/4,122.8
Haruka,2025/8/1,92.5
fukamimi,2025/7/22,282.5
rihomiko_11250518,2025/7/21,108.3
kaiji_Y,2025/7/21,97.8
fukamimi,2025/7/20,142.3
